value_eth,gas_price_gwei,gas_used,from_address_age_days,to_contract_age_days,tx_frequency_last_hour,is_flash_loan_pattern,label
7.8012,34.53,118646,968,203,5,0,0
5.1834,29.32,163456,802,962,3,0,0
6.7724,22.24,27991,879,139,4,0,0
9.8131,10.27,235198,1165,643,1,0,0
3692.0329,180.61,1737483,5,1,66,1,1
8.4347,19.51,49633,520,526,1,0,0
14.4578,27.69,150753,867,1432,4,0,0
4913.6603,125.33,672143,10,7,16,1,1
6.176,10.59,210318,592,1127,3,1,0
6.3405,14.63,39567,498,814,1,0,0
10.4082,20.09,125976,1156,105,4,0,0
3322.312,230.73,1532219,3,7,31,1,1
4909.6889,307.97,735004,13,7,117,1,1
4.7196,43.76,104660,626,1453,4,0,0
2.8378,23.71,190389,141,520,4,0,0
7.9889,30.89,65139,692,1471,3,0,0
1191.262,253.7,1991466,7,1,73,1,1
3466.6329,332.82,1288354,15,4,25,1,1
1635.729,95.66,2196048,8,3,112,1,1
0.3574,43.08,153499,966,523,2,0,0
1.3936,24.83,93530,120,37,3,0,0
5.3953,19.15,155431,1048,984,1,0,0
6.3528,17.41,162373,441,1490,3,0,0
4.2338,23.37,159270,887,361,2,0,0
1117.7005,331.94,1686652,7,0,16,1,1
2001.6858,187.29,1667874,8,7,16,1,1
13.9681,40.01,165930,888,489,3,0,0
3095.4835,290.37,420864,4,7,77,1,1
6.8882,19.27,85651,1179,1133,3,0,0
13.8147,44.91,216760,215,918,1,0,0
12.9114,43.62,118934,840,1230,1,0,0
7.5681,19.55,233025,260,707,2,0,0
10.4922,10.77,238589,840,592,1,0,0
2984.4864,125.1,491756,9,4,73,1,1
11.1726,11.72,179965,1047,616,2,0,0
6.2507,15.22,119686,406,1131,4,0,0
8.0165,41.74,176161,1185,1387,1,0,0
13.5961,40.56,108388,196,1223,2,0,0
3.9742,14.33,117622,566,1227,4,0,0
9.5749,12.49,24163,769,678,2,0,0
9.1484,35.9,220946,455,1311,2,0,0
5.5013,23.4,169699,96,1269,2,0,0
12.3745,27.32,105637,610,721,5,0,0
5.3156,41.79,93084,603,943,2,0,0
4.5768,43.21,108088,808,704,4,0,0
2128.5346,284.24,1254257,1,6,119,1,1
14.1442,40.67,103490,465,1372,4,0,0
13.2831,37.24,78367,390,1455,5,0,0
6.168,40.58,217682,896,135,3,0,0
14.3044,34.04,145326,167,216,1,0,0
4.7071,40.83,56947,813,302,2,0,0
8.9413,37.56,158758,944,1111,3,0,0
12.2718,11.7,22673,874,311,2,0,0
7.8099,14.07,74844,1031,216,5,0,0
0.6441,10.66,41411,671,1209,4,0,0
12.5421,43.91,218542,514,370,4,0,0
13.9275,21.73,140104,1142,1103,4,0,0
10.1128,19.52,194523,898,1024,5,0,0
7.3855,12.1,58322,603,220,1,0,0
2.8746,22.49,225692,127,1372,3,0,0
14.0864,19.79,201952,788,474,4,0,0
8.5511,18.6,165347,721,557,4,0,0
2.1178,21.33,86024,43,564,4,0,0
11.0846,38.41,166849,152,1231,5,0,0
6.6685,19.97,217224,949,509,5,0,0
9.6738,30.38,88848,183,74,1,0,0
0.7908,43.32,79778,170,1364,1,0,0
4.4507,22.63,100237,58,1480,5,0,0
10.1138,38.22,67993,249,227,5,0,0
432.1944,149.3,753129,0,0,64,1,1
7.4358,42.78,249665,622,106,1,0,0
1.3654,38.27,100748,112,470,3,0,0
13.7543,28.97,189246,150,1103,1,0,0
9.8373,44.02,172643,496,135,5,0,0
7.1042,28.58,132543,1157,707,3,0,0
1755.3922,319.75,861153,10,7,60,1,1
7.8236,24.47,93129,154,1170,5,0,0
11.3147,17.9,198294,843,1171,3,0,0
1.6341,18.18,27560,1179,701,5,0,0
2.6361,28.16,136927,599,401,5,0,0
1.7403,13.75,166024,348,587,3,0,0
5.19,30.57,188493,898,1443,3,0,0
2.7054,21.16,78414,90,605,1,0,0
9.5879,31.31,61065,795,360,5,0,0
9.5529,31.73,198671,310,1316,1,0,0
13.2224,10.87,214085,710,873,2,0,0
5.0929,42.86,218909,325,437,5,0,0
9.2366,20.53,164638,30,652,3,0,0
4.6409,25.43,172931,777,299,1,0,0
5.5649,27.71,110451,55,890,4,0,0
1390.664,306.01,558534,4,1,25,1,1
17.7729,52.68,239880,9,27,11,0,0
3621.9545,111.79,778203,3,7,40,1,1
6.3187,29.12,66290,994,179,1,0,0
1.6573,10.66,103232,887,340,4,0,0
8.2299,21.38,177602,1116,633,4,0,0
6.4715,24.83,143427,140,1409,1,0,0
38.0056,70.47,211635,14,13,7,0,0
1.7268,38.68,102536,251,1215,1,0,0
14.1101,22.86,78894,478,303,4,0,0
13.6213,23.14,208436,436,185,5,0,0
10.8197,16.64,62770,1050,1084,4,0,0
1496.8399,184.37,983283,6,3,97,1,1
2374.6705,187.17,819560,0,3,62,1,1
724.007,276.78,1942495,1,2,92,1,1
187.789,81.11,1343639,7,5,54,1,1
9.405,19.61,41311,615,510,3,0,0
6.2384,17.03,227179,1134,779,5,0,0
11.1497,43.11,130871,346,879,1,0,0
3.7517,13.97,213852,411,1052,5,0,0
7.9953,14.4,193949,1003,1155,2,0,0
11.7677,41.64,71860,783,1419,5,0,0
5.3679,30.44,82017,356,235,2,0,0
12.7565,11.31,66892,885,390,1,0,0
1998.8829,180.18,1899897,11,2,72,0,1
7.3813,30.2,200949,139,340,2,0,0
5.5492,15.52,239561,1142,1470,3,0,0
12.5196,33.84,38331,665,1460,4,0,0
4360.1366,100.21,2362121,10,3,57,1,1
13.161,25.91,148937,700,1221,1,0,0
3.6056,29.32,62034,35,866,4,0,0
4232.0914,181.04,1485632,9,1,76,1,1
0.9658,44.79,39092,996,94,3,0,0
25.8103,73.54,110583,29,25,7,0,0
12.9618,19.67,228095,879,726,5,0,0
7.8902,36.92,236833,181,286,3,0,0
4.3363,14.35,201532,652,1463,4,0,0
10.1588,28.92,121622,316,1441,1,0,0
7.8215,22.19,46591,927,1456,4,0,0
8.3592,27.94,48077,83,213,3,0,0
5.9019,14.46,79376,37,76,3,0,0
11.6289,38.81,117170,1140,115,4,0,0
11.9673,39.09,39129,867,1408,4,0,0
0.6701,40.2,85107,124,996,3,0,0
8.3975,44.75,84633,1097,377,4,0,0
8.5076,22.87,87877,240,1205,1,0,0
3.1153,17.56,248985,507,702,2,0,0
0.0877,29.26,62403,863,1367,4,0,0
20.0454,71.13,61464,7,25,12,0,0
4.3103,39.04,203471,314,1474,4,0,0
3.2886,25.96,36846,1019,1380,4,1,0
1169.2244,161.58,2483713,12,1,15,1,1
293.2781,158.45,1611588,13,1,27,1,1
4192.6376,260.64,925557,2,1,107,1,1
1.142,37.81,222558,220,855,5,0,0
5.5991,19.9,128156,722,1420,5,0,0
13.139,19.22,152225,395,1069,1,0,0
12.1547,14.03,243607,732,1357,1,0,0
7.412,12.82,31449,914,690,5,0,0
1.6447,27.63,182246,118,1379,5,0,0
4.2859,34.38,212497,1168,1385,4,0,0
11.7687,40.23,24235,627,877,4,0,0
6.899,33.34,231929,982,619,5,0,0
4.895,19.81,227010,834,777,1,0,0
9.5374,39.0,206416,343,921,2,0,0
2.4765,41.99,147313,634,723,1,0,0
12.6314,31.68,247891,765,49,4,0,0
6.9448,40.61,40761,937,1157,1,0,0
3238.9143,312.6,1395329,9,3,34,1,1
13.1958,19.74,239083,893,546,1,0,0
3.7575,32.44,118311,1165,240,5,0,0
8.7572,22.67,57262,1073,1040,1,0,0
0.3087,26.73,107962,442,297,3,0,0
908.4863,320.23,958941,1,1,57,1,1
4.3479,12.79,82024,236,808,3,0,0
10.1944,43.35,58428,927,101,2,0,0
0.3301,37.54,84850,287,1186,2,0,0
9.09,24.55,164978,994,1130,2,0,0
2.715,20.28,47895,193,701,3,0,0
2.0201,18.5,74303,706,1354,1,0,0
11.4268,21.21,74248,789,670,4,0,0
0.6891,14.8,108304,1000,1093,4,0,0
2696.2087,191.54,932410,4,3,58,1,1
6.946,29.4,228570,114,951,5,0,0
1.4099,43.32,82569,665,490,2,0,0
4.6814,21.35,169791,203,137,2,0,0
2439.2614,81.26,1136403,11,0,56,1,1
1.9878,24.54,168825,148,1174,4,0,0
13.4374,23.81,111474,329,624,1,0,0
2.8812,35.85,93482,1104,1252,3,0,0
6.0181,27.73,248969,886,1143,1,0,0
1.2179,15.28,121410,342,1476,2,0,0
6.1036,28.76,222939,455,955,3,0,0
2.9671,31.08,220285,184,392,4,0,0
4.1663,44.44,55076,1136,543,2,0,0
14.145,25.57,220582,582,239,2,0,0
14.5361,26.45,128046,712,687,1,0,0
3.9918,14.98,36633,369,659,5,0,0
4.3276,40.83,148064,278,89,5,0,0
4.0334,15.11,64832,920,595,4,0,0
1089.4045,302.09,920246,8,5,108,1,1
8.673,17.45,193159,1017,489,1,0,0
3516.2638,274.95,1412601,9,4,45,1,1
1.1116,12.83,180461,333,164,2,0,0
14.4591,21.24,190318,151,213,5,0,0
3.6557,34.4,99636,195,1368,1,0,0
4174.3442,342.74,1801232,13,4,35,0,1
14.3019,24.67,216956,1148,1265,2,0,0
4.6674,13.02,140733,46,785,2,0,0
4704.2849,329.73,723584,9,5,67,1,1
1.9101,24.73,50792,160,1005,4,0,0
7.6542,41.71,112586,749,1351,2,0,0
4.3762,10.05,113488,522,1198,4,0,0
12.3596,41.83,100217,866,268,2,0,0
13.0639,31.69,84132,1049,1224,2,0,0
1.1945,42.23,232828,348,1128,3,0,0
13.3144,26.64,33205,182,1431,3,0,0
6.3975,34.14,113155,945,116,3,0,0
11.4491,19.55,155572,331,925,1,0,0
3.6943,20.33,129001,1157,1011,1,0,0
14.5774,13.21,160062,470,800,4,0,0
4.9757,44.21,45998,1111,117,2,0,0
421.5231,271.58,1991919,4,0,37,1,1
1924.9594,171.22,1571104,9,4,77,1,1
14.9179,23.12,28389,682,232,3,0,0
30.262,60.6,232421,22,16,8,0,0
12.9238,25.75,218073,536,1335,3,0,0
6.6413,17.6,47336,316,282,5,0,0
11.8961,13.26,79090,858,1446,2,0,0
10.5595,23.88,83739,1160,688,3,0,0
1.5452,39.05,217960,536,639,1,0,0
3.7785,14.22,71484,676,274,5,0,0
4542.4426,203.54,1627008,5,1,77,1,1
5.0522,38.99,160549,1033,1481,5,0,0
11.1214,10.57,166047,885,634,2,0,0
3.0107,14.75,40412,955,383,4,0,0
6.3677,23.27,81205,536,973,3,0,0
12.8959,12.48,83391,600,1400,4,0,0
10.8205,19.97,202004,84,1378,3,0,0
1.7822,20.74,127277,1059,1470,3,0,0
6.2986,25.72,93926,43,356,4,0,0
325.2644,150.64,1618009,0,3,100,1,1
8.1437,24.55,75220,890,827,5,0,0
5.202,25.48,88225,1011,468,2,0,0
3.0487,37.3,174277,253,348,1,0,0
919.1075,137.21,1108351,4,0,69,1,1
6.2943,32.49,229980,1106,540,5,0,0
4.124,31.88,182068,1122,221,5,0,0
11.0962,18.49,117540,1040,430,5,0,0
13.7629,14.25,55954,981,1397,5,0,0
7.364,15.89,229398,751,376,2,0,0
3.9427,40.19,159337,671,1252,4,0,0
3472.3841,246.92,2115495,7,7,59,1,1
915.0584,191.79,1888435,11,6,27,1,1
13.8654,28.17,231016,199,899,1,0,0
4.0388,41.02,223225,90,716,4,0,0
6.042,20.35,54367,422,891,4,0,0
5.4342,25.28,48751,528,922,5,0,0
2902.9139,207.72,1022258,8,6,33,1,1
7.8434,25.77,137056,638,1235,4,0,0
12.3012,12.62,169850,157,920,2,0,0
10.278,20.41,40129,152,353,4,0,0
7.7814,31.79,151676,935,135,2,0,0
11.6448,18.32,52941,127,518,4,0,0
10.778,23.44,125766,529,332,1,0,0
1.2869,18.69,167295,882,1271,5,0,0
0.4993,20.08,95112,959,175,2,0,0
0.5032,42.51,103440,62,454,5,0,0
14.9906,39.87,48958,515,811,5,0,0
2932.4719,284.73,1246162,5,7,24,1,1
0.6382,42.67,156104,845,1142,4,0,0
11.3309,25.02,44907,224,32,2,0,0
22.551,72.68,227907,17,26,8,0,0
14.9355,41.83,191392,648,355,3,0,0
14.5561,28.97,67021,1034,107,1,0,0
7.2898,23.61,196341,858,368,4,0,0
11.6268,42.22,249803,157,1475,2,0,0
4.8413,18.59,43718,601,953,2,0,0
34.3873,62.65,22885,7,30,6,0,0
13.8124,31.81,194903,285,645,5,0,0
13.007,14.44,248037,301,541,2,0,0
12.1376,15.79,135733,119,871,3,0,0
10.7818,10.49,109371,634,1192,2,0,0
11.4898,44.24,190313,890,796,4,0,0
1.9857,22.54,227682,517,1235,3,1,0
12.1414,13.22,243108,709,280,1,0,0
5.4233,43.05,209979,1045,1246,5,0,0
14.6382,35.63,135522,1027,1359,3,0,0
7.1397,15.28,37219,952,241,3,0,0
1030.5843,276.17,1232658,15,5,79,1,1
0.4567,17.65,153475,84,1179,2,0,0
12.4838,27.44,208853,627,1072,3,0,0
1.297,39.1,212404,320,743,3,0,0
10.6877,30.18,41203,1046,962,5,0,0
4.5848,37.84,80662,486,78,2,0,0
14.3979,35.76,193713,203,611,5,0,0
8.7139,15.99,184703,721,1184,1,0,0
4865.2335,141.55,1560306,14,5,49,1,1
1548.4627,324.87,1997010,12,0,89,1,1
8.833,27.52,111431,80,1018,1,0,0
0.2541,42.53,62414,933,964,1,0,0
8.4316,22.69,96655,180,821,5,0,0
7.9016,38.53,91077,842,191,3,0,0
5.6377,16.5,174583,808,205,5,0,0
4.8058,38.91,170824,793,274,5,0,0
3.2669,40.23,35796,316,1061,3,0,0
2.0671,18.94,107015,275,45,4,0,0
16.5912,64.24,172197,13,30,7,0,0
41.2047,57.83,739248,19,17,10,1,1
7.0886,25.99,58917,815,420,5,0,0
12.6799,16.16,176325,681,1458,3,0,0
12.0109,13.82,71224,419,1128,4,0,0
207.375,216.25,816578,11,0,63,1,1
9.8443,33.17,54803,203,664,5,0,0
13.0592,36.1,79083,712,374,1,0,0
9.5885,27.43,185407,1147,623,3,0,0
12.1329,12.19,47673,1129,412,3,0,0
3.3378,36.14,167274,482,942,3,0,0
14.429,39.26,171784,72,1406,3,0,0
8.6459,30.21,223516,686,515,3,0,0
9.5728,11.84,129344,706,1499,4,0,0
4201.1857,147.36,2214484,1,5,105,1,1
11.8985,14.0,192629,1159,470,4,0,0
12.894,44.1,56684,645,686,5,0,0
5.9566,37.07,28766,589,952,4,0,0
8.295,11.96,23477,380,199,4,0,0
14.5263,23.87,33832,642,562,2,0,0
5.3116,29.6,127529,346,514,2,0,0
12.6658,21.33,26744,332,1231,2,0,0
0.3849,19.63,79513,315,239,5,0,0
5.6687,12.81,194484,1134,302,3,0,0
8.9132,25.63,197166,129,531,1,0,0
13.7782,30.96,149085,69,259,3,0,0
6.5599,24.0,136274,821,724,2,0,0
10.9968,31.99,223244,710,303,1,0,0
11.7986,25.27,155066,266,818,5,0,0
11.527,11.96,236430,95,676,4,0,0
9.7085,11.55,190091,848,709,4,0,0
6.2373,34.56,42607,1128,1131,5,0,0
5.3208,37.02,209986,571,1279,4,0,0
49.4378,63.34,222454,7,24,9,0,0
1.7321,19.75,80286,908,1178,5,0,0
6.4949,41.87,35526,284,1091,2,0,0
8.3757,17.87,99017,621,1473,2,0,0
2420.4962,111.19,1967098,15,7,99,1,1
4.6308,41.46,229698,111,762,2,0,0
14.0217,17.89,157025,611,191,3,0,0
1.396,35.36,70933,135,579,4,0,0
